DP,DPNOM,AÑO,Total,cod_dep
5,Antioquia,2005,1891949,5
5,Antioquia,2006,1884367,5
5,Antioquia,2007,1873607,5
5,Antioquia,2008,1859912,5
5,Antioquia,2009,1844146,5
5,Antioquia,2010,1826983,5
5,Antioquia,2011,1808472,5
5,Antioquia,2012,1788551,5
5,Antioquia,2013,1767901,5
5,Antioquia,2014,1747485,5
5,Antioquia,2015,1728476,5
5,Antioquia,2016,1713416,5
5,Antioquia,2017,1703369,5
5,Antioquia,2018,1703967,5
5,Antioquia,2019,1712516,5
5,Antioquia,2020,1696647,5
5,Antioquia,2021,1686482,5
5,Antioquia,2022,1673812,5
5,Antioquia,2023,1661547,5
5,Antioquia,2024,1648967,5
5,Antioquia,2025,1635732,5
5,Antioquia,2026,1621891,5
8,Atlántico,2005,760216,8
8,Atlántico,2006,763597,8
8,Atlántico,2007,766133,8
8,Atlántico,2008,767748,8
8,Atlántico,2009,768663,8
8,Atlántico,2010,769034,8
8,Atlántico,2011,768818,8
8,Atlántico,2012,768189,8
8,Atlántico,2013,767409,8
8,Atlántico,2014,766291,8
8,Atlántico,2015,765051,8
8,Atlántico,2016,765515,8
8,Atlántico,2017,768286,8
8,Atlántico,2018,778783,8
8,Atlántico,2019,800635,8
8,Atlántico,2020,800289,8
8,Atlántico,2021,802837,8
8,Atlántico,2022,801346,8
8,Atlántico,2023,797713,8
8,Atlántico,2024,792204,8
8,Atlántico,2025,784887,8
8,Atlántico,2026,776107,8
11,"Bogotá, D.C.",2005,2276018,11
11,"Bogotá, D.C.",2006,2262634,11
11,"Bogotá, D.C.",2007,2243260,11
11,"Bogotá, D.C.",2008,2218081,11
11,"Bogotá, D.C.",2009,2187582,11
11,"Bogotá, D.C.",2010,2151608,11
11,"Bogotá, D.C.",2011,2109573,11
11,"Bogotá, D.C.",2012,2061121,11
11,"Bogotá, D.C.",2013,2006779,11
11,"Bogotá, D.C.",2014,1949051,11
11,"Bogotá, D.C.",2015,1891889,11
11,"Bogotá, D.C.",2016,1841192,11
11,"Bogotá, D.C.",2017,1798187,11
11,"Bogotá, D.C.",2018,1767790,11
11,"Bogotá, D.C.",2019,1778794,11
11,"Bogotá, D.C.",2020,1757375,11
11,"Bogotá, D.C.",2021,1747537,11
11,"Bogotá, D.C.",2022,1729960,11
11,"Bogotá, D.C.",2023,1710456,11
11,"Bogotá, D.C.",2024,1690846,11
11,"Bogotá, D.C.",2025,1670640,11
11,"Bogotá, D.C.",2026,1649904,11
13,Bolívar,2005,687945,13
13,Bolívar,2006,690008,13
13,Bolívar,2007,691266,13
13,Bolívar,2008,691649,13
13,Bolívar,2009,691408,13
13,Bolívar,2010,690665,13
13,Bolívar,2011,689545,13
13,Bolívar,2012,688171,13
13,Bolívar,2013,686745,13
13,Bolívar,2014,685157,13
13,Bolívar,2015,683314,13
13,Bolívar,2016,682167,13
13,Bolívar,2017,682068,13
13,Bolívar,2018,685450,13
13,Bolívar,2019,697129,13
13,Bolívar,2020,692870,13
13,Bolívar,2021,692832,13
