cod_dep,DP,DPNOM,cod_mun,MPNOM,AÑO,Total
05,05,Antioquia,05001,Medellín,2005,615183
05,05,Antioquia,05001,Medellín,2006,613205
05,05,Antioquia,05001,Medellín,2007,610073
05,05,Antioquia,05001,Medellín,2008,605964
05,05,Antioquia,05001,Medellín,2009,601376
05,05,Antioquia,05001,Medellín,2010,597185
05,05,Antioquia,05001,Medellín,2011,594234
05,05,Antioquia,05001,Medellín,2012,591872
05,05,Antioquia,05001,Medellín,2013,588055
05,05,Antioquia,05001,Medellín,2014,582555
05,05,Antioquia,05001,Medellín,2015,576402
05,05,Antioquia,05001,Medellín,2016,571154
05,05,Antioquia,05001,Medellín,2017,567579
05,05,Antioquia,05001,Medellín,2018,581068
05,05,Antioquia,05001,Medellín,2019,576056
05,05,Antioquia,05001,Medellín,2020,573858
05,05,Antioquia,05001,Medellín,2021,568294
05,05,Antioquia,05001,Medellín,2022,560383
05,05,Antioquia,05001,Medellín,2023,551459
05,05,Antioquia,05001,Medellín,2024,542424
05,05,Antioquia,05001,Medellín,2025,532641
05,05,Antioquia,05001,Medellín,2026,521797
05,05,Antioquia,05002,Abejorral,2005,8524
05,05,Antioquia,05002,Abejorral,2006,8284
05,05,Antioquia,05002,Abejorral,2007,8056
05,05,Antioquia,05002,Abejorral,2008,7796
05,05,Antioquia,05002,Abejorral,2009,7546
05,05,Antioquia,05002,Abejorral,2010,7294
05,05,Antioquia,05002,Abejorral,2011,6997
05,05,Antioquia,05002,Abejorral,2012,6677
05,05,Antioquia,05002,Abejorral,2013,6403
05,05,Antioquia,05002,Abejorral,2014,6154
05,05,Antioquia,05002,Abejorral,2015,5927
05,05,Antioquia,05002,Abejorral,2016,5750
05,05,Antioquia,05002,Abejorral,2017,5583
05,05,Antioquia,05002,Abejorral,2018,6010
05,05,Antioquia,05002,Abejorral,2019,5967
05,05,Antioquia,05002,Abejorral,2020,5927
05,05,Antioquia,05002,Abejorral,2021,5821
05,05,Antioquia,05002,Abejorral,2022,5720
05,05,Antioquia,05002,Abejorral,2023,5602
05,05,Antioquia,05002,Abejorral,2024,5506
05,05,Antioquia,05002,Abejorral,2025,5388
05,05,Antioquia,05002,Abejorral,2026,5255
05,05,Antioquia,05004,Abriaquí,2005,1036
05,05,Antioquia,05004,Abriaquí,2006,997
05,05,Antioquia,05004,Abriaquí,2007,973
05,05,Antioquia,05004,Abriaquí,2008,962
05,05,Antioquia,05004,Abriaquí,2009,937
05,05,Antioquia,05004,Abriaquí,2010,902
05,05,Antioquia,05004,Abriaquí,2011,891
05,05,Antioquia,05004,Abriaquí,2012,872
05,05,Antioquia,05004,Abriaquí,2013,859
05,05,Antioquia,05004,Abriaquí,2014,847
05,05,Antioquia,05004,Abriaquí,2015,809
05,05,Antioquia,05004,Abriaquí,2016,788
05,05,Antioquia,05004,Abriaquí,2017,781
05,05,Antioquia,05004,Abriaquí,2018,856
05,05,Antioquia,05004,Abriaquí,2019,850
05,05,Antioquia,05004,Abriaquí,2020,849
05,05,Antioquia,05004,Abriaquí,2021,833
05,05,Antioquia,05004,Abriaquí,2022,814
05,05,Antioquia,05004,Abriaquí,2023,796
05,05,Antioquia,05004,Abriaquí,2024,792
05,05,Antioquia,05004,Abriaquí,2025,766
05,05,Antioquia,05004,Abriaquí,2026,755
05,05,Antioquia,05021,Alejandría,2005,1804
05,05,Antioquia,05021,Alejandría,2006,1756
05,05,Antioquia,05021,Alejandría,2007,1722
05,05,Antioquia,05021,Alejandría,2008,1676
05,05,Antioquia,05021,Alejandría,2009,1646
05,05,Antioquia,05021,Alejandría,2010,1620
05,05,Antioquia,05021,Alejandría,2011,1584
05,05,Antioquia,05021,Alejandría,2012,1562
05,05,Antioquia,05021,Alejandría,2013,1545
05,05,Antioquia,05021,Alejandría,2014,1518
05,05,Antioquia,05021,Alejandría,2015,1489
05,05,Antioquia,05021,Alejandría,2016,1457
05,05,Antioquia,05021,Alejandría,2017,1414
05,05,Antioquia,05021,Alejandría,2018,1511
05,05,Antioquia,05021,Alejandría,2019,1512
05,05,Antioquia,05021,Alejandría,2020,1522
05,05,Antioquia,05021,Alejandría,2021,1527
05,05,Antioquia,05021,Alejandría,2022,1519
05,05,Antioquia,05021,Alejandría,2023,1516
05,05,Antioquia,05021,Alejandría,2024,1501
05,05,Antioquia,05021,Alejandría,2025,1483
05,05,Antioquia,05021,Alejandría,2026,1478
05,05,Antioquia,05030,Amagá,2005,9788
05,05,Antioquia,05030,Amagá,2006,9682
05,05,Antioquia,05030,Amagá,2007,9577
05,05,Antioquia,05030,Amagá,2008,9483
05,05,Antioquia,05030,Amagá,2009,9308
05,05,Antioquia,05030,Amagá,2010,9136
05,05,Antioquia,05030,Amagá,2011,8858
05,05,Antioquia,05030,Amagá,2012,8479
05,05,Antioquia,05030,Amagá,2013,8223
05,05,Antioquia,05030,Amagá,2014,7980
05,05,Antioquia,05030,Amagá,2015,7842
05,05,Antioquia,05030,Amagá,2016,7730
05,05,Antioquia,05030,Amagá,2017,7639
05,05,Antioquia,05030,Amagá,2018,8458
05,05,Antioquia,05030,Amagá,2019,8437
05,05,Antioquia,05030,Amagá,2020,8432
05,05,Antioquia,05030,Amagá,2021,8358
05,05,Antioquia,05030,Amagá,2022,8273
05,05,Antioquia,05030,Amagá,2023,8174
05,05,Antioquia,05030,Amagá,2024,8086
05,05,Antioquia,05030,Amagá,2025,7965
